 ,name,relation,discipline_human,tier,definition_excerpt,domains_deepseek,domains_qwen38,CORE_shared,only_deepseek,only_qwen38,silver_domains,HUMAN_domain_VERDICT,note
a6f551bd1328f69c1f3e61e81a82291b336f7aa1b60f588e302f4946213e5223,Iterative Hypothesis Refinement,equal,,?,"Research hypotheses and theoretical frameworks evolve through continuous interaction with data, requiring researchers to question, amend, and expand initial assumptions based on emerging evidence. The process involves constant testing of fit between observations and expectations,",research & methodology,research & methodology,research & methodology,,,research & methodology,research & methodology,
4854ab53e994388ccf344057f303b515444c16b056fa3ea294eec031a2a127a2,Langgraph Agent Workflow Graph Structure,equal,,?,LangGraph represents agentic workflows as explicit graph structures where each step is a node and transitions between steps are managed as state evolution. This graph-based approach enables structured orchestration of multi-step agent interactions and state tracking across comple,ai & agents; engineering practice; systems & frameworks,ai & agents; engineering practice; systems & frameworks,ai & agents; engineering practice; systems & frameworks,,,ai & agents; engineering practice,ai & agents; engineering practice; systems & frameworks,
dd6bb15b6c947e76a6b0b981d3e6ba59874c267602480009c46db5014f8fb228,Mythic Cosmogonic Narrative Structure,equal,cultural studies,pending_4axis,"Cosmogonic myths function as foundational narratives that explain the origin and structure of the world, assigning human roles within a cosmic order. These myths are not static but evolve through cultural transmission, adapting to new contexts and media while maintaining core str",arts & culture; media & entertainment; semiotics & communication,arts & culture; media & entertainment; semiotics & communication,arts & culture; media & entertainment; semiotics & communication,,,brand identity; editorial & advertising,arts & culture; media & entertainment; semiotics & communication,
cc87fe2239c788fd9940dde5a52c0a35a007774dc74ae30315e8b02b9acba826,Nutritional and Physiological Interdependence,equal,,?,"Nutritional and physiological systems are deeply interconnected, such that deficiencies or disruptions in one domain can cascade into broader health consequences across multiple bodily functions. The body's systems are not isolated; instead, they rely on each other for optimal fu",health & wellness; science & research,health & wellness; science & research,health & wellness; science & research,,,health & wellness; science & research,health & wellness; science & research,
dff6be38540c8c9163a8599ebf0037edd7af286cf17115991b37a5abc7cf01c9,Occult Club Behavioral Patterns,equal,,?,A set of equivalent programs that appear identical under black-box observation but contain hidden deterministic rules that cannot be detected through external observation alone.,code & computation; systems & frameworks,code & computation; systems & frameworks,code & computation; systems & frameworks,,,,code & computation; systems & frameworks,
fdd3fbdefb51f9f699f4be66096821285c20d2d557d590021a8f58909beb962d,Opposite Action Technique,equal,,?,A behavioral intervention that involves deliberately doing the opposite of one's natural emotional impulse to change underlying emotions and responses.,health & wellness,health & wellness,health & wellness,,,,health & wellness,
4f482235ad5e867c74534034ffeec2dc66ab0353ba769e8f73166345abd88dee,Peirce's Three-phase Semiotic Structure,equal,,?,"Peirce's semiotic framework organizes reality and meaning through three universal categories: Firstness (quality, potential, pure possibility), Secondness (relation, force, actuality), and Thirdness (representation, mediation, law). These categories form a hierarchical structure ",semiotics & communication,semiotics & communication,semiotics & communication,,,arts & culture; systems & frameworks,semiotics & communication,
62f217a1dd32ff73ce6cce1841315e770d0eabe9ae16d5fec4efc8f032ca8138,Peirce's Triad and Semiotic Processes,equal,,?,"A conceptual framework combining Peirce's Firstness, Secondness, and Thirdness with abduction, induction, and deduction as fundamental semiotic processes that structure meaning and reality.",semiotics & communication,semiotics & communication,semiotics & communication,,,,semiotics & communication,
c0956f337071ffb7528aef7e5c43f6b592a80bfd4f15be18bd33cea56830419d,Perpetrator-victim Dynamic in Historical Conflict,equal,psychology,pending_4axis,"A pattern where perpetrators of harmful actions either view their behavior as arbitrary and meaningless or as intentionally malicious and brutal, while simultaneously justifying their own retaliatory actions as morally appropriate and necessary.",social sciences,social sciences,social sciences,,,,social sciences,
f66ccee5ff482968161c0bd8352768775a27d943495ce33ab81b69427eb351b8,Pixel-based Generative Transformation,equal,,?,"Individual image pixels can be treated as discrete data points that can be analyzed, transformed, and reinterpreted into new visual or auditory representations. This approach enables the conversion of existing media into generative design elements or sound mappings.",code & computation; computational art; creative technology,code & computation; computational art; creative technology,code & computation; computational art; creative technology,,,media & entertainment,code & computation; computational art; creative technology,
da8925c3f65d4dbdfe709805176c2e5a1532ef15860b15cb98ff2296ab8ad2d4,Privacy-aware Recommendation Systems,equal,,?,Recommendation systems can be designed to balance data utility with individual privacy by integrating differential privacy techniques and contextual awareness. These systems process aggregate data while preserving individual anonymity and mitigating risks of re-identification.,ai & agents; digital product; user experience,ai & agents; digital product; user experience,ai & agents; digital product; user experience,,,ai & agents; engineering practice,ai & agents; digital product; user experience,
33ba0166918ac0c5eafa88308658836bc78133b931b5a5724500b89406eebe44,Project Completion Bias,equal,,?,"A pattern where people gravitate toward smaller, easier projects that provide immediate satisfaction rather than tackling larger, more meaningful goals, often because the smaller projects are more accessible and less effortful to return to.",personal productivity; project management,personal productivity; project management,personal productivity; project management,,,,personal productivity; project management,
30e663d739a2454207d6464d387b377396e198e5ef2892d3a53f380ee06f11bd,Schematic Meaning in Linguistic Expression,equal,,?,"Linguistic expressions derive meaning from abstract, recurring conceptual structures called schemas that map physical or conceptual relationships onto language. These schemas provide the foundational meaning for words and phrases, enabling semantic interpretation through structur",semiotics & communication,semiotics & communication,semiotics & communication,,,semiotics & communication,semiotics & communication,
456c7374a566985d673668d90c38c5221f8c5d6bc7bdba3a2b9aa4b9ff03c59c,Selective Research Method Application,equal,,?,"Effective research requires choosing methods that address specific problems rather than applying rigid frameworks or default approaches. The principle emphasizes flexibility in research design, recognizing that no single method captures all aspects of complex challenges and that ",research & methodology,research & methodology,research & methodology,,,,research & methodology,
0e6143f7b6270b1257d75cac6229e90e070af0b0da1ca9a21eb979febbce1678,Self-referential Systemic Patterns,equal,complex adaptive systems,silver_4axis,"Certain systemic entities exhibit recursive or circular behavioral patterns that reflect self-awareness, self-modification, or self-observation as core operational characteristics. These patterns manifest as paradoxes, circular causality, or meta-level feedback loops that define ",systems & frameworks,systems & frameworks,systems & frameworks,,,leadership; organizational behavior,systems & frameworks,
000e035798b39c4d4ada638aef410061175cfe7b7c6eb37e50ae2024d5d50724,Status-driven Narrative Structure,equal,,?,"A narrative framework where status dynamics drive character motivation and plot progression, particularly in moments of high social stakes such as weddings or ceremonies. The principle describes how status hierarchies create tension and agency in storytelling.",arts & culture; media & entertainment,arts & culture; media & entertainment,arts & culture; media & entertainment,,,arts & culture; media & entertainment,arts & culture; media & entertainment,
9d5e48deaa4b7cd378a60b0ae8ecb971fa0663d500c10ccdab9da8a32b7152c2,Superformula Mathematical Visualization,equal,generative design,pending_4axis,A mathematical equation that generates a wide variety of forms found in nature by controlling parameters that define the shape and structure of geometric patterns.,code & computation; computational art; creative technology,code & computation; computational art; creative technology,code & computation; computational art; creative technology,,,,code & computation; computational art; creative technology,
ef596bf2c0dfdb9260b4674a3afb5142cab73f48d3242dc224e516d145511e5e,Symbolic System Interdependence,equal,,?,"Symbolic systems are interdependent across multiple levels of analysis, where primary and secondary systems coexist and mutually influence each other. The relationship between language, thought, and semiotic structures reveals that meaning emerges not from isolated components but",semiotics & communication,semiotics & communication,semiotics & communication,,,,semiotics & communication,
042f578c0de0d504b37f3b51b308be44f0de5eaac230ec13fdb2a0ba9171cf1b,Systems-wide Optimization,equal,,?,"Optimization efforts should focus on enhancing the overall properties of a system rather than optimizing individual components or subsystems in isolation. The principle emphasizes that system-level outcomes like growth, stability, diversity, resilience, and sustainability are mor",design strategy; systems & frameworks,design strategy; systems & frameworks,design strategy; systems & frameworks,,,systems & frameworks,design strategy; systems & frameworks,
2e45062e16b4cae19621d2018f09fff1127c5b5509a6b8e0320ed93d4e68e930,Visual Information Architecture,equal,,?,"Effective data visualization requires organizing information into clear, hierarchical structures that guide viewers through a logical flow from raw data to meaningful insights. The principle describes how visual design must balance complexity management with accessibility to ensu",data visualization; information architecture; user experience,data visualization; information architecture; user experience,data visualization; information architecture; user experience,,,data visualization; graphic design; information architecture,data visualization; information architecture; user experience,
